OrderId,CustomerId,Amount,OrderDate
ORD-000001,C2,25,2024-01-02
ORD-000002,C3,33.5,2024-01-03
ORD-000003,C4,45.99,2024-01-04
ORD-000004,C5,59,2024-01-05
ORD-000005,C6,75.25,2024-01-06
ORD-000006,C7,99.5,2024-01-07
ORD-000007,C8,120,2024-01-08
ORD-000008,C9,150,2024-01-09
ORD-000009,C10,185,2024-01-10
ORD-000010,C11,210,2024-01-11
ORD-000011,C12,275,2024-01-12
ORD-000012,C13,350,2024-01-13
ORD-000013,C14,499.99,2024-01-14
ORD-000014,C15,15.99,2024-01-15
ORD-000015,C16,25,2024-01-16
ORD-000016,C17,33.5,2024-01-17
ORD-000017,C18,45.99,2024-01-18
ORD-000018,C19,59,2024-01-19
ORD-000019,C20,75.25,2024-01-20
ORD-000020,C21,99.5,2024-01-21
ORD-000021,C22,120,2024-01-22
ORD-000022,C23,150,2024-01-23
ORD-000023,C24,185,2024-01-24
ORD-000024,C25,210,2024-01-25
ORD-000025,C26,275,2024-01-26
ORD-000026,C27,350,2024-01-27
ORD-000027,C28,499.99,2024-01-28
ORD-000028,C29,15.99,2024-01-29
ORD-000029,C30,25,2024-01-30
ORD-000030,C31,33.5,2024-01-31
ORD-000031,C32,45.99,2024-02-01
ORD-000032,C33,59,2024-02-02
ORD-000033,C34,75.25,2024-02-03
ORD-000034,C35,99.5,2024-02-04
ORD-000035,C36,120,2024-02-05
ORD-000036,C37,150,2024-02-06
ORD-000037,C38,185,2024-02-07
ORD-000038,C39,210,2024-02-08
ORD-000039,C40,275,2024-02-09
ORD-000040,C41,350,2024-02-10
ORD-000041,C42,499.99,2024-02-11
ORD-000042,C43,15.99,2024-02-12
ORD-000043,C44,25,2024-02-13
ORD-000044,C45,33.5,2024-02-14
ORD-000045,C46,45.99,2024-02-15
ORD-000046,C47,59,2024-02-16
ORD-000047,C48,75.25,2024-02-17
ORD-000048,C49,99.5,2024-02-18
ORD-000049,C50,120,2024-02-19
ORD-000050,C51,150,2024-02-20
ORD-000051,C52,185,2024-02-21
ORD-000052,C53,210,2024-02-22
ORD-000053,C54,275,2024-02-23
ORD-000054,C55,350,2024-02-24
ORD-000055,C56,499.99,2024-02-25
ORD-000056,C57,15.99,2024-02-26
ORD-000057,C58,25,2024-02-27
ORD-000058,C59,33.5,2024-02-28
ORD-000059,C60,45.99,2024-02-29
ORD-000060,C61,59,2024-03-01
ORD-000061,C62,75.25,2024-03-02
ORD-000062,C63,99.5,2024-03-03
ORD-000063,C64,120,2024-03-04
ORD-000064,C65,150,2024-03-05
ORD-000065,C66,185,2024-03-06
ORD-000066,C67,210,2024-03-07
ORD-000067,C68,275,2024-03-08
ORD-000068,C69,350,2024-03-09
ORD-000069,C70,499.99,2024-03-10
ORD-000070,C71,15.99,2024-03-10
ORD-000071,C72,25,2024-03-11
ORD-000072,C73,33.5,2024-03-12
ORD-000073,C74,45.99,2024-03-13
ORD-000074,C75,59,2024-03-14
ORD-000075,C76,75.25,2024-03-15
ORD-000076,C77,99.5,2024-03-16
ORD-000077,C78,120,2024-03-17
ORD-000078,C79,150,2024-03-18
ORD-000079,C80,185,2024-03-19
ORD-000080,C81,210,2024-03-20
ORD-000081,C82,275,2024-03-21
ORD-000082,C83,350,2024-03-22
ORD-000083,C84,499.99,2024-03-23
ORD-000084,C85,15.99,2024-03-24
ORD-000085,C86,25,2024-03-25
ORD-000086,C87,33.5,2024-03-26
ORD-000087,C88,45.99,2024-03-27
ORD-000088,C89,59,2024-03-28
ORD-000089,C90,75.25,2024-03-29
ORD-000090,C91,99.5,2024-03-30
ORD-000091,C92,120,2024-03-31
ORD-000092,C93,150,2024-04-01
ORD-000093,C94,185,2024-04-02
ORD-000094,C95,210,2024-04-03
ORD-000095,C96,275,2024-04-04
ORD-000096,C97,350,2024-04-05
ORD-000097,C98,499.99,2024-04-06
ORD-000098,C99,15.99,2024-04-07
ORD-000099,C100,25,2024-04-08
ORD-000100,C101,33.5,2024-04-09
ORD-000101,C102,45.99,2024-04-10
ORD-000102,C103,59,2024-04-11
ORD-000103,C104,75.25,2024-04-12
ORD-000104,C105,99.5,2024-04-13
ORD-000105,C106,120,2024-04-14
ORD-000106,C107,150,2024-04-15
ORD-000107,C108,185,2024-04-16
ORD-000108,C109,210,2024-04-17
ORD-000109,C110,275,2024-04-18
ORD-000110,C111,350,2024-04-19
ORD-000111,C112,499.99,2024-04-20
ORD-000112,C113,15.99,2024-04-21
ORD-000113,C114,25,2024-04-22
ORD-000114,C115,33.5,2024-04-23
ORD-000115,C116,45.99,2024-04-24
ORD-000116,C117,59,2024-04-25
ORD-000117,C118,75.25,2024-04-26
ORD-000118,C119,99.5,2024-04-27
ORD-000119,C120,120,2024-04-28
ORD-000120,C121,150,2024-04-29
ORD-000121,C122,185,2024-04-30
ORD-000122,C123,210,2024-05-01
ORD-000123,C124,275,2024-05-02
ORD-000124,C125,350,2024-05-03
ORD-000125,C126,499.99,2024-05-04
ORD-000126,C127,15.99,2024-05-05
ORD-000127,C128,25,2024-05-06
ORD-000128,C129,33.5,2024-05-07
ORD-000129,C130,45.99,2024-05-08
ORD-000130,C131,59,2024-05-09
ORD-000131,C132,75.25,2024-05-10
ORD-000132,C133,99.5,2024-05-11
ORD-000133,C134,120,2024-05-12
ORD-000134,C135,150,2024-05-13
ORD-000135,C136,185,2024-05-14
ORD-000136,C137,210,2024-05-15
ORD-000137,C138,275,2024-05-16
ORD-000138,C139,350,2024-05-17
ORD-000139,C140,499.99,2024-05-18
ORD-000140,C141,15.99,2024-05-19
ORD-000141,C142,25,2024-05-20
ORD-000142,C143,33.5,2024-05-21
ORD-000143,C144,45.99,2024-05-22
ORD-000144,C145,59,2024-05-23
ORD-000145,C146,75.25,2024-05-24
ORD-000146,C147,99.5,2024-05-25
ORD-000147,C148,120,2024-05-26
ORD-000148,C149,150,2024-05-27
ORD-000149,C150,185,2024-05-28
ORD-000150,C151,210,2024-05-29
ORD-000151,C152,275,2024-05-30
ORD-000152,C153,350,2024-05-31
ORD-000153,C154,499.99,2024-06-01
ORD-000154,C155,15.99,2024-06-02
ORD-000155,C156,25,2024-06-03
ORD-000156,C157,33.5,2024-06-04
